City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Bambanglipuro,ID,2021-11-27 07:27:59,-7.95,110.2833,83.05,74,68,11.41
67,Khatanga,RU,2021-11-27 07:28:00,71.9667,102.5,-0.81,93,100,15.26
68,Demba,CD,2021-11-27 07:28:00,-5.51,22.2667,67.6,97,100,1.5
69,Mersing,MY,2021-11-27 07:28:01,2.4312,103.8405,85.91,70,40,9.22
70,Arraial Do Cabo,BR,2021-11-27 07:28:01,-22.9661,-42.0278,73.22,88,100,24.18
71,Ilulissat,GL,2021-11-27 07:28:02,69.2167,-51.1,19.42,79,100,1.14
72,Laguna,US,2021-11-27 07:28:02,38.421,-121.4238,55.9,93,1,0.0
73,Georgetown,MY,2021-11-27 07:28:03,5.4112,100.3354,87.73,70,40,3.44
74,Mitu,CO,2021-11-27 07:28:03,1.1983,-70.1733,72.12,98,100,2.06
75,Vrangel,RU,2021-11-27 07:28:03,42.7297,133.0839,36.36,52,0,11.52
76,Kruisfontein,ZA,2021-11-27 07:28:04,-34.0033,24.7314,70.27,63,100,9.1
77,Lyskovo,RU,2021-11-27 07:28:04,56.0328,45.0422,30.13,89,100,12.84
78,Luganville,VU,2021-11-27 07:28:05,-15.5333,167.1667,80.11,82,17,6.22
79,Victoria,HK,2021-11-27 07:24:38,22.2855,114.1577,78.76,48,100,9.19
80,Hervey Bay,AU,2021-11-27 07:28:05,-25.2986,152.8535,73.51,83,100,13.85
81,Constitucion,CL,2021-11-27 07:28:06,-35.3333,-72.4167,50.43,85,0,7.96
82,Flinders,AU,2021-11-27 07:28:06,-34.5833,150.8552,58.28,82,100,16.78
83,Omboue,GA,2021-11-27 07:28:07,-1.5746,9.2618,79.14,83,85,5.06
84,Port Elizabeth,ZA,2021-11-27 07:28:07,-33.918,25.5701,62.89,82,20,18.41
85,Auki,SB,2021-11-27 07:28:08,-8.7676,160.7034,80.06,81,80,1.86
86,Sterling,US,2021-11-27 07:28:08,39.0062,-77.4286,35.04,59,40,16.11
87,Manubul,PH,2021-11-27 07:28:09,5.4732,120.7986,83.77,74,97,8.32
88,Moron,AR,2021-11-27 07:28:09,-34.6534,-58.6198,69.55,77,3,5.53
89,Ranir Bazar,IN,2021-11-27 07:28:09,23.8333,91.3667,82.31,44,0,2.3
90,Sarab,IR,2021-11-27 07:28:10,38.6066,44.9883,45.72,53,0,2.3
91,Bengkulu,ID,2021-11-27 07:28:10,-3.8004,102.2655,85.87,63,96,10.87
92,Lazaro Cardenas,MX,2021-11-27 07:28:11,17.9583,-102.2,74.73,86,36,4.14
93,Maniitsoq,GL,2021-11-27 07:28:11,65.4167,-52.9,34.12,96,100,7.14
94,Lata,PT,2021-11-27 07:28:11,40.1629,-8.3327,43.21,87,100,11.1
95,Ulaangom,MN,2021-11-27 07:28:12,49.9811,92.0667,21.65,52,1,3.4
96,Toppenish,US,2021-11-27 07:28:12,46.3774,-120.3087,47.5,80,100,1.5
97,Golden,US,2021-11-27 07:28:13,39.7555,-105.2211,55.09,15,1,14.97
98,Chokurdakh,RU,2021-11-27 07:28:13,70.6333,147.9167,-22.45,97,100,2.68
99,Plattsburgh,US,2021-11-27 07:23:53,44.6995,-73.4529,30.96,74,90,14.97
100,Anadyr,RU,2021-11-27 07:28:14,64.75,177.4833,-19.7,76,0,6.71
101,Tawau,MY,2021-11-27 07:28:14,4.2498,117.8871,84.33,69,100,5.17
102,Bende,NG,2021-11-27 07:28:15,5.5572,7.6368,77.95,84,100,2.39
103,Tiznit,MA,2021-11-27 07:28:15,29.5833,-9.5,51.15,80,98,12.24
104,Casino,AU,2021-11-27 07:28:16,-28.8667,153.05,73.35,73,100,11.5
105,Lebu,CL,2021-11-27 07:28:17,-37.6167,-73.65,50.99,83,90,12.26
106,Gizo,SB,2021-11-27 07:28:17,-8.103,156.8419,84.11,69,93,4.88
107,Thompson,CA,2021-11-27 07:28:17,55.7435,-97.8558,17.76,93,90,2.3
108,Saint-Philippe,RE,2021-11-27 07:28:18,-21.3585,55.7679,85.55,80,63,9.84
109,Sayyan,YE,2021-11-27 07:28:18,15.1718,44.3244,61.74,38,0,4.23
110,Christiana,ZA,2021-11-27 07:28:19,-27.914,25.1611,71.44,54,10,27.76
111,Souillac,MU,2021-11-27 07:28:19,-20.5167,57.5167,84.58,54,20,14.97
112,Mount Isa,AU,2021-11-27 07:28:20,-20.7333,139.5,91.17,19,0,9.22
113,Bambous Virieux,MU,2021-11-27 07:28:20,-20.3428,57.7575,84.45,54,20,14.97
114,Champerico,GT,2021-11-27 07:28:21,14.3,-91.9167,76.39,80,5,4.47
115,Qasigiannguit,GL,2021-11-27 07:28:21,68.8193,-51.1922,19.65,88,100,3.53
116,Huarmey,PE,2021-11-27 07:28:21,-10.0681,-78.1522,65.88,87,100,6.31
117,Mantua,IT,2021-11-27 07:28:22,45.1667,10.7833,47.44,91,61,2.59
118,Kondinskoye,RU,2021-11-27 07:28:22,59.6481,67.41,32.02,86,100,17.78
119,Nemuro,JP,2021-11-27 07:28:23,43.3236,145.575,36.03,58,72,28.61
120,Khani,GE,2021-11-27 07:28:23,41.9563,42.9566,47.77,51,9,4.79
121,Linden,GY,2021-11-27 07:28:24,6.0,-58.3,75.34,99,53,0.83
122,Mar Del Plata,AR,2021-11-27 07:24:19,-38.0023,-57.5575,57.22,88,90,5.75
123,Bredasdorp,ZA,2021-11-27 07:28:25,-34.5322,20.0403,66.22,67,100,9.6
124,Pilot Butte,CA,2021-11-27 07:28:25,50.4668,-104.4178,35.22,80,90,8.05
125,Sao Jose Da Coroa Grande,BR,2021-11-27 07:28:26,-8.8978,-35.1478,76.17,87,62,7.63
126,Husavik,IS,2021-11-27 07:28:26,66.0449,-17.3389,31.91,71,100,14.72
127,Novoagansk,RU,2021-11-27 07:28:27,61.9449,76.6625,10.06,94,100,11.65
128,Atuona,PF,2021-11-27 07:25:58,-9.8,-139.0333,78.13,80,19,19.93
129,Noumea,NC,2021-11-27 07:28:27,-22.2763,166.4572,84.18,74,1,15.01
130,Barrow,US,2021-11-27 07:28:28,71.2906,-156.7887,-16.58,76,1,5.75
131,Bishop Auckland,GB,2021-11-27 07:28:28,54.6555,-1.6771,40.12,93,100,32.28
132,Saint Pete Beach,US,2021-11-27 07:28:28,27.7253,-82.7412,62.6,72,1,11.5
133,Sao Joao Da Barra,BR,2021-11-27 07:28:29,-21.6403,-41.0511,71.67,94,100,13.6
134,Moskovskiy,RU,2021-11-27 07:28:29,55.5991,37.355,37.38,80,90,8.95
135,Coihaique,CL,2021-11-27 07:28:30,-45.5752,-72.0662,45.21,93,0,2.3
136,Avera,US,2021-11-27 07:28:30,33.194,-82.5271,35.26,49,0,5.19
137,Alekseyevsk,RU,2021-11-27 07:28:31,57.8406,108.3492,8.56,90,100,8.63
138,Birjand,IR,2021-11-27 07:28:31,32.8663,59.2211,61.27,25,40,0.0
139,Severo-Kurilsk,RU,2021-11-27 07:23:58,50.6789,156.125,34.29,92,99,7.38
140,San Lucas,MX,2021-11-27 07:28:32,16.6,-92.7167,62.19,88,54,3.58
141,Oussouye,SN,2021-11-27 07:28:32,12.485,-16.5469,75.38,78,100,7.16
142,Mineiros,BR,2021-11-27 07:28:33,-17.5694,-52.5511,69.19,88,100,4.41
143,Jinchang,CN,2021-11-27 07:28:33,38.4953,102.1739,47.34,15,0,4.59
144,Maningrida,AU,2021-11-27 07:28:33,-12.0667,134.2667,86.09,62,100,7.92
145,El Vigia,VE,2021-11-27 07:28:34,8.6219,-71.6506,73.42,91,100,3.58
146,Bertoua,CM,2021-11-27 07:28:34,4.5833,13.6833,74.35,57,37,2.28
147,Evanston,US,2021-11-27 07:28:25,42.0411,-87.6901,30.88,59,90,8.05
148,Provideniya,RU,2021-11-27 07:28:35,64.3833,-173.3,-4.05,81,2,7.54
149,Hasaki,JP,2021-11-27 07:28:35,35.7333,140.8333,50.4,32,95,16.51
150,Emporia,US,2021-11-27 07:27:39,38.4039,-96.1817,50.2,37,1,11.5
151,Sadiqabad,PK,2021-11-27 07:28:36,28.3062,70.1307,85.08,11,0,1.99
152,New Castle,US,2021-11-27 07:26:05,41.0037,-80.347,31.28,74,90,9.22
153,Port Moresby,PG,2021-11-27 07:28:36,-9.4431,147.1797,81.82,78,40,5.75
154,Itaqui,BR,2021-11-27 07:28:37,-29.1253,-56.5531,62.76,85,0,7.07
155,Airai,TL,2021-11-27 07:28:37,-8.9266,125.4092,70.61,77,100,1.36
156,Bethel,US,2021-11-27 07:28:38,41.3712,-73.414,37.76,60,1,14.97
157,Barsi,IN,2021-11-27 07:28:38,18.2333,75.7,83.37,36,61,10.47
158,Clarence Town,AU,2021-11-27 07:28:39,-32.5833,151.7833,62.51,93,100,8.1
159,Iki-Burul,RU,2021-11-27 07:28:39,45.8208,44.6472,32.34,82,90,12.93
160,North Bend,US,2021-11-27 07:28:39,43.4065,-124.2243,53.51,94,90,0.0
161,Thunder Bay,CA,2021-11-27 07:28:40,48.4001,-89.3168,30.18,69,90,10.36
162,Solnechnyy,RU,2021-11-27 07:28:40,50.7214,136.6319,16.41,97,48,4.23
163,Port Blair,IN,2021-11-27 07:28:41,11.6667,92.75,86.04,74,40,11.5
164,Talnakh,RU,2021-11-27 07:28:41,69.4865,88.3972,0.99,95,100,12.1
165,Adrar,MR,2021-11-27 07:28:42,20.5022,-10.0711,71.44,28,95,9.48
166,Port Lincoln,AU,2021-11-27 07:28:42,-34.7333,135.8667,63.34,63,100,16.24
167,Aksha,RU,2021-11-27 07:28:43,50.2814,113.2867,27.84,73,93,10.96
168,Nuuk,GL,2021-11-27 07:28:43,64.1835,-51.7216,45.21,87,75,35.68
169,Ust-Tsilma,RU,2021-11-27 07:28:43,65.441,52.1498,12.43,95,100,4.52
170,Cabedelo,BR,2021-11-27 07:28:44,-6.9811,-34.8339,79.47,77,54,12.77
171,Avarua,CK,2021-11-27 07:28:44,-21.2078,-159.775,77.05,94,21,1.14
172,Ribeira Grande,PT,2021-11-27 07:28:45,38.5167,-28.7,61.2,72,20,12.66
173,Abdanan,IR,2021-11-27 07:28:45,32.9926,47.4198,62.29,38,0,6.71
174,Erzin,TR,2021-11-27 07:28:46,36.9559,36.2,59.52,61,36,0.31
175,Yerbogachen,RU,2021-11-27 07:28:46,61.2767,108.0108,1.29,89,98,11.32
176,Sur,OM,2021-11-27 07:28:46,22.5667,59.5289,81.68,50,18,11.81
177,Tuktoyaktuk,CA,2021-11-27 07:28:47,69.4541,-133.0374,-4.99,96,100,15.59
178,Dingle,PH,2021-11-27 07:28:48,10.9995,122.6711,83.95,79,100,12.44
179,Mawlaik,MM,2021-11-27 07:28:48,23.6333,94.4167,82.89,44,0,1.5
180,Latung,PH,2021-11-27 07:28:49,5.5,120.8833,83.91,73,100,8.03
181,Madhupur,IN,2021-11-27 07:28:49,24.25,86.65,78.12,29,0,7.09
182,Nome,US,2021-11-27 07:28:49,64.5011,-165.4064,-9.33,59,20,6.91
