City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Boyuibe,BO,-20.4167,-63.2833,70.84,85,81,6.89,broken clouds
79,Georgetown,MY,5.4112,100.3354,87.73,74,40,4.61,scattered clouds
80,Busselton,AU,-33.65,115.3333,84.15,38,71,14.0,broken clouds
81,Yuli,NG,9.6989,10.2744,70.88,23,93,6.08,overcast clouds
82,Krasnyy Chikoy,RU,50.3643,108.7512,17.13,66,13,3.36,few clouds
83,Port Elizabeth,ZA,-33.918,25.5701,71.89,56,0,6.91,clear sky
84,New Norfolk,AU,-42.7826,147.0587,63.9,42,1,5.61,clear sky
85,Aksu,CN,41.1231,80.2644,32.61,47,2,4.43,clear sky
86,Jumla,NP,29.2747,82.1838,57.33,20,0,5.55,clear sky
87,Kandrian,PG,-6.2167,149.55,86.56,63,83,9.19,broken clouds
88,Luancheng,CN,37.8792,114.6517,50.16,46,6,4.12,clear sky
89,Leningradskiy,RU,69.3833,178.4167,-20.47,91,21,10.02,few clouds
90,Saint-Pierre,RE,-21.3393,55.4781,82.04,88,75,14.97,thunderstorm
91,Joura,IN,26.3411,77.8115,74.64,37,3,7.45,clear sky
92,Formosa Do Rio Preto,BR,-11.0483,-45.1931,69.37,97,100,1.83,overcast clouds
93,Phan Thiet,VN,10.9333,108.1,84.16,72,100,10.65,overcast clouds
94,Bell Ville,AR,-32.6259,-62.6887,62.69,96,100,9.84,light rain
95,Urumqi,CN,43.801,87.6005,29.35,40,0,4.47,clear sky
96,Butaritari,KI,3.0707,172.7902,82.29,74,74,16.64,broken clouds
97,Hilo,US,19.7297,-155.09,73.13,83,90,0.0,light rain
98,Sechura,PE,-5.5569,-80.8222,66.31,80,75,9.51,broken clouds
99,Flinders,AU,-34.5833,150.8552,62.62,68,83,11.14,broken clouds
100,Rocha,UY,-34.4833,-54.3333,62.28,95,100,1.45,light rain
101,Cairns,AU,-16.9167,145.7667,85.95,74,47,6.91,light rain
102,Biryusinsk,RU,55.9634,97.8235,24.33,91,100,13.0,light snow
103,Fonte Boa,BR,-2.4959,-66.2662,73.24,95,88,2.13,overcast clouds
104,Faanui,PF,-16.4833,-151.75,81.01,75,41,13.85,scattered clouds
105,Tibagi,BR,-24.5094,-50.4136,63.07,89,0,1.52,clear sky
106,Puro,PH,12.4841,123.3827,83.7,74,100,10.07,overcast clouds
107,Preobrazheniye,RU,42.9019,133.9064,44.17,37,0,10.98,clear sky
108,East London,ZA,-33.0153,27.9116,68.94,77,0,5.75,clear sky
109,Kaitangata,NZ,-46.2817,169.8464,59.52,65,0,6.82,clear sky
110,Ancud,CL,-41.8697,-73.8203,49.53,85,33,4.61,scattered clouds
111,Saint George,US,37.1041,-113.5841,46.99,29,1,3.44,clear sky
112,Palmer,US,42.1584,-72.3287,29.01,59,1,5.75,clear sky
113,Katherine,AU,-14.4667,132.2667,98.92,22,40,8.05,scattered clouds
114,Petrinja,HR,45.4375,16.29,42.71,97,67,3.42,broken clouds
115,Cayenne,GF,4.9333,-52.3333,75.24,100,75,0.0,broken clouds
116,Kalyazin,RU,57.2403,37.8433,36.48,98,100,12.17,overcast clouds
117,Pangai,TO,-19.8,-174.35,80.76,78,99,18.57,light rain
118,Aklavik,CA,68.2191,-135.0107,-13.97,82,98,16.55,overcast clouds
119,Along,IN,28.1667,94.7667,74.95,34,0,1.03,clear sky
120,Gopalpur,IN,19.2667,84.9167,78.12,53,21,12.12,few clouds
121,Zhanaozen,KZ,43.3,52.8,37.22,34,4,10.27,clear sky
122,Asfi,MA,32.2994,-9.2372,60.51,63,96,15.39,overcast clouds
123,Khatanga,RU,71.9667,102.5,-8.32,96,100,12.37,overcast clouds
124,Groningen,NL,53.25,6.75,44.64,100,100,5.75,mist
125,Ostrovnoy,RU,68.0531,39.5131,7.05,94,83,7.72,broken clouds
126,Lira,UG,2.235,32.9097,67.68,83,89,3.38,overcast clouds
127,Pevek,RU,69.7008,170.3133,-12.64,84,13,3.0,few clouds
128,Talnakh,RU,69.4865,88.3972,-3.03,97,100,6.26,overcast clouds
129,Atuona,PF,-9.8,-139.0333,78.73,73,100,19.15,overcast clouds
130,Bardsir,IR,29.9227,56.5743,48.25,40,0,2.73,clear sky
131,Pimenta Bueno,BR,-11.6725,-61.1936,72.75,97,99,2.55,light rain
132,Mar Del Plata,AR,-38.0023,-57.5575,62.62,94,0,11.5,light rain
133,Kodiak,US,57.79,-152.4072,17.11,53,1,13.8,clear sky
134,Gazanjyk,TM,39.2446,55.5154,48.54,49,0,9.4,clear sky
135,Vao,NC,-22.6667,167.4833,75.45,85,94,17.27,moderate rain
136,Belen,TR,36.4891,36.2233,44.74,100,75,2.3,fog
137,Centralia,US,46.7162,-122.9543,62.06,100,90,10.36,overcast clouds
138,Honiara,SB,-9.4333,159.95,84.22,75,100,5.23,overcast clouds
139,Townsville,AU,-19.25,146.8,83.28,79,24,12.66,few clouds
140,Halifax,CA,44.6453,-63.5724,35.65,86,92,6.91,overcast clouds
141,Robertson,US,36.5167,-86.8667,46.38,56,40,6.91,scattered clouds
142,Balta Doamnei,RO,44.75,26.1667,37.38,84,68,4.12,broken clouds
143,Puerto Ayora,EC,-0.7393,-90.3518,68.43,81,92,7.52,overcast clouds
144,Auki,SB,-8.7676,160.7034,85.33,66,96,1.95,overcast clouds
145,Niono,ML,14.2526,-5.993,75.72,20,83,8.7,broken clouds
146,Eugene,US,44.0521,-123.0867,56.95,94,75,4.61,broken clouds
147,Mao,ES,39.8885,4.2658,43.36,87,20,0.0,few clouds
148,Grindavik,IS,63.8424,-22.4338,36.07,100,90,9.22,light intensity drizzle
149,Zhicheng,CN,30.2956,111.5047,62.28,34,8,3.22,clear sky
150,Rorvik,NO,64.8621,11.2373,27.64,76,9,13.65,clear sky
151,Alofi,NU,-19.0595,-169.9187,76.89,94,99,14.97,light rain
152,Luderitz,NA,-26.6481,15.1594,61.65,77,29,6.44,scattered clouds
153,Shenjiamen,CN,29.9576,122.298,63.43,68,99,16.51,overcast clouds
154,Impfondo,CG,1.6381,18.0667,71.35,81,83,1.23,broken clouds
155,Jupiter,US,26.9342,-80.0942,62.62,65,25,5.59,scattered clouds
156,Peterhead,GB,57.5058,-1.7981,34.2,75,99,14.76,light snow
157,Itaobim,BR,-16.5667,-41.8333,67.64,98,100,1.99,overcast clouds
158,Jalu,LY,29.0331,21.5482,70.52,37,54,6.78,broken clouds
159,Necochea,AR,-38.5473,-58.7368,59.85,96,100,10.16,light rain
160,Barrow,US,71.2906,-156.7887,-5.78,77,90,10.36,haze
161,Mazagao,BR,-0.115,-51.2894,77.05,97,73,2.62,broken clouds
162,Baiyin,CN,36.5583,104.2081,33.12,34,80,18.97,broken clouds
163,Nikolskoye,RU,59.7035,30.7861,28.29,93,100,10.69,light snow
164,Okhotsk,RU,59.3833,143.3,3.51,71,4,17.92,clear sky
165,Den Helder,NL,52.9599,4.7593,44.58,87,90,3.44,light rain
166,Kununurra,AU,-15.7667,128.7333,100.38,20,40,6.91,scattered clouds
167,Barra,BR,-11.0894,-43.1417,71.56,94,100,8.25,overcast clouds
168,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,75.06,95,100,1.92,overcast clouds
169,Kavaratti,IN,10.5669,72.642,83.1,68,98,8.55,overcast clouds
170,Alyangula,AU,-13.8483,136.4192,89.47,51,90,9.22,thunderstorm
171,San Quintin,MX,30.4833,-115.95,60.94,70,0,2.1,clear sky
172,Souillac,MU,-20.5167,57.5167,84.58,58,20,10.36,few clouds
173,Hami,CN,42.8,93.45,27.81,56,23,5.39,few clouds
174,Bredasdorp,ZA,-34.5322,20.0403,67.15,76,88,16.42,overcast clouds
175,Dikson,RU,73.5069,80.5464,-13.85,97,100,9.48,overcast clouds
176,Kruisfontein,ZA,-34.0033,24.7314,68.34,56,26,9.78,scattered clouds
177,Ribeira Grande,PT,38.5167,-28.7,61.3,62,62,5.17,broken clouds
178,Quatre Cocos,MU,-20.2078,57.7625,84.31,62,1,9.51,clear sky
179,Tuatapere,NZ,-46.1333,167.6833,58.21,54,0,8.03,clear sky
180,Port Lincoln,AU,-34.7333,135.8667,68.58,54,1,8.9,clear sky
181,Altamont,US,42.2068,-121.7372,35.44,93,1,0.0,clear sky
182,Macklin,CA,52.3334,-109.9348,30.54,76,100,13.62,overcast clouds
183,Kavieng,PG,-2.5744,150.7967,84.99,65,83,3.96,light rain
184,Odweyne,SO,9.4092,45.064,74.93,35,43,12.75,scattered clouds
185,Cururupu,BR,-1.8283,-44.8683,75.78,91,60,2.86,broken clouds
186,Jinchang,CN,38.4953,102.1739,33.39,35,98,9.06,overcast clouds
187,Vadso,NO,70.0744,29.7487,-6.72,89,92,5.21,overcast clouds
188,Hay River,CA,60.8156,-115.7999,1.38,78,40,6.91,scattered clouds
189,Inhambane,MZ,-23.865,35.3833,73.24,56,4,7.25,clear sky
190,Bengkulu,ID,-3.8004,102.2655,82.8,69,100,5.28,overcast clouds
191,Beringovskiy,RU,63.05,179.3167,1.63,98,96,6.02,overcast clouds
192,Namibe,AO,-15.1961,12.1522,67.12,76,76,1.03,broken clouds
193,San Vicente,AR,-26.6167,-54.1333,61.0,93,20,3.02,few clouds
194,Yellowknife,CA,62.456,-114.3525,-17.88,76,1,8.05,clear sky
195,Beaverlodge,CA,55.2166,-119.4361,22.35,93,100,4.94,overcast clouds
196,Cidreira,BR,-30.1811,-50.2056,69.44,95,93,2.91,overcast clouds
197,Sayyan,YE,15.1718,44.3244,52.81,47,0,6.35,clear sky
198,Mildura,AU,-34.2,142.15,82.36,23,1,9.22,clear sky
199,Aksha,RU,50.2814,113.2867,18.21,56,100,13.73,overcast clouds
200,Sagarejo,GE,41.734,45.3315,41.43,63,95,2.93,overcast clouds
201,Norman Wells,CA,65.282,-126.8329,-32.76,68,20,2.3,few clouds
202,Celestun,MX,20.8667,-90.4,72.61,86,53,9.08,broken clouds
203,Morgan City,US,29.6994,-91.2068,55.4,100,90,0.0,overcast clouds
204,Ust-Kuyga,RU,70.0167,135.6,-3.44,99,100,1.95,overcast clouds
205,Santa Ana,US,33.7456,-117.8678,65.46,68,1,0.0,clear sky
206,Kalanguy,RU,51.0167,116.5167,16.45,70,100,5.61,overcast clouds
207,Doha,QA,25.2867,51.5333,76.98,66,0,11.5,clear sky
208,Witu,KE,-2.3889,40.4382,80.76,80,97,1.32,moderate rain
